Size	Merge Sort	QUICK sORT 
46100	0.006574	0.006048
46200	0.007374	0.006354
46300	0.006720	0.006275
46400	0.006569	0.006559
46500	0.006657	0.006455
46600	0.007898	0.006746
46700	0.008033	0.006318
46800	0.007526	0.006375
46900	0.006910	0.006390
47000	0.006906	0.006837
47100	0.006791	0.006649
47200	0.006923	0.006409
47300	0.006840	0.006477
47400	0.006869	0.006406
47500	0.006755	0.006570
47600	0.007276	0.006689
47700	0.006764	0.006701
47800	0.006561	0.006603
47900	0.006780	0.006643
48000	0.006972	0.006773
48100	0.006826	0.006619
48200	0.006825	0.006440
48300	0.006756	0.006643
48400	0.006966	0.006559
48500	0.007083	0.006688
48600	0.007038	0.006806
48700	0.006788	0.006627
48800	0.006691	0.006987
48900	0.006759	0.007079
49000	0.007026	0.006593
49100	0.006944	0.006463
49200	0.007090	0.006714
49300	0.007056	0.006698
49400	0.007189	0.006700
49500	0.007015	0.006789
49600	0.006844	0.006937
49700	0.007043	0.006797
49800	0.006938	0.006773
49900	0.006959	0.006889
50000	0.007043	0.006818
50100	0.007220	0.006644
50200	0.007978	0.006533
50300	0.007563	0.006763
50400	0.007259	0.006801
50500	0.008306	0.006941
50600	0.007619	0.006901
50700	0.007368	0.006912
50800	0.007426	0.006994
50900	0.007343	0.007004
51000	0.007296	0.007279
51100	0.007450	0.007366
51200	0.007471	0.007431
51300	0.007431	0.006999
51400	0.007262	0.007218
51500	0.007423	0.006801
51600	0.007207	0.007142
51700	0.007955	0.007567
51800	0.007310	0.007411
51900	0.007669	0.007176
52000	0.007800	0.007352
52100	0.007332	0.006984
52200	0.008462	0.007215
52300	0.007545	0.007372
52400	0.007764	0.007286
52500	0.008697	0.007128
52600	0.007831	0.007109
52700	0.007760	0.007265
52800	0.008254	0.007440
52900	0.007940	0.007841
53000	0.007891	0.007738
53100	0.007700	0.007437
53200	0.007911	0.007465
53300	0.008008	0.007368
53400	0.008570	0.007778
53500	0.007953	0.007893
53600	0.008162	0.007750
53700	0.008875	0.007409
53800	0.007932	0.007493
53900	0.007902	0.007405
54000	0.007917	0.007466
54100	0.008398	0.007646
54200	0.008358	0.007386
54300	0.008030	0.007535
54400	0.007979	0.007487
54500	0.008033	0.007557
54600	0.007937	0.008458
54700	0.007904	0.008344
54800	0.007991	0.007690
54900	0.008451	0.007691
55000	0.007906	0.007929
55100	0.008124	0.007662
55200	0.008344	0.007949
55300	0.008450	0.007675
55400	0.009204	0.007876
55500	0.008444	0.007839
55600	0.008490	0.007919
55700	0.008646	0.007399
55800	0.008290	0.007757
55900	0.008121	0.007818
56000	0.011921	0.014242
56100	0.009211	0.009464
56200	0.008577	0.008268
56300	0.008140	0.008232
56400	0.008038	0.008521
56500	0.008267	0.008547
56600	0.007948	0.009257
56700	0.008007	0.008101
56800	0.008159	0.007795
56900	0.008182	0.007948
57000	0.008033	0.007846
57100	0.008965	0.009408
57200	0.008311	0.008411
57300	0.009179	0.008083
57400	0.008389	0.008266
57500	0.008312	0.008383
57600	0.008327	0.009002
57700	0.008984	0.008459
57800	0.008641	0.008284
57900	0.008681	0.008305
58000	0.008597	0.008180
58100	0.009537	0.008230
58200	0.008915	0.008172
58300	0.009224	0.008759
58400	0.009914	0.008384
58500	0.008547	0.008464
58600	0.009489	0.007991
58700	0.008566	0.008097
58800	0.008699	0.008280
58900	0.008594	0.008183
59000	0.008637	0.008693
59100	0.008651	0.008495
59200	0.008903	0.008474
59300	0.008868	0.008800
59400	0.008618	0.008442
59500	0.008718	0.008522
59600	0.009057	0.008353
59700	0.008925	0.008404
59800	0.008840	0.008339
59900	0.008822	0.008401
60000	0.009815	0.008447
60100	0.009227	0.008241
60200	0.008915	0.008277
60300	0.009067	0.008465
60400	0.008927	0.008691
60500	0.009246	0.008935
60600	0.008929	0.008683
60700	0.008917	0.008693
60800	0.008838	0.009189
60900	0.009269	0.008489
61000	0.008936	0.009077
61100	0.009118	0.008823
61200	0.009177	0.008387
61300	0.009302	0.008531
61400	0.009540	0.008569
61500	0.008731	0.008903
61600	0.009755	0.008957
61700	0.009025	0.008990
61800	0.009016	0.008520
61900	0.009003	0.008545
62000	0.009735	0.008610
62100	0.008909	0.008538
62200	0.008885	0.008786
62300	0.009062	0.009734
62400	0.009527	0.008795
62500	0.009224	0.009079
62600	0.008964	0.009168
62700	0.009024	0.008928
62800	0.008948	0.009607
62900	0.009557	0.008732
63000	0.009532	0.008285
63100	0.009470	0.008510
63200	0.008901	0.008432
63300	0.009220	0.008833
63400	0.008874	0.009066
63500	0.008812	0.008764
63600	0.009072	0.008458
63700	0.009058	0.008645
63800	0.009157	0.008739
63900	0.009286	0.009686
64000	0.010288	0.009805
64100	0.009512	0.008830
64200	0.009359	0.008561
64300	0.009433	0.009826
64400	0.010337	0.009389
64500	0.009309	0.010591
64600	0.009661	0.009012
64700	0.009522	0.008857
64800	0.010598	0.008916
64900	0.009503	0.009296
65000	0.009475	0.009518
65100	0.010600	0.009173
65200	0.010034	0.009440
65300	0.009441	0.009210
65400	0.010321	0.009031
65500	0.009775	0.010021
65600	0.010021	0.009319
65700	0.009706	0.009284
65800	0.009697	0.009188
65900	0.009907	0.009834
66000	0.009698	0.009254
66100	0.009785	0.009848
66200	0.009709	0.009439
66300	0.010816	0.009329
66400	0.009901	0.009751
66500	0.010336	0.008831
66600	0.009977	0.009304
66700	0.010046	0.009655
66800	0.009801	0.010230
66900	0.010512	0.009443
67000	0.010014	0.009716
67100	0.009818	0.010257
67200	0.009870	0.009428
67300	0.009835	0.009872
67400	0.010098	0.009424
67500	0.010096	0.009830
67600	0.010220	0.009412
67700	0.010570	0.009697
67800	0.009985	0.009580
67900	0.010510	0.009920
68000	0.010709	0.009611
68100	0.009925	0.010013
68200	0.010518	0.010273
68300	0.010684	0.009486
68400	0.010295	0.009540
68500	0.010423	0.010060
68600	0.009872	0.009920
68700	0.010368	0.009657
68800	0.010723	0.010187
68900	0.010466	0.009498
69000	0.010433	0.010370
69100	0.010082	0.009734
69200	0.011316	0.009641
69300	0.010821	0.009558
69400	0.010379	0.010258
69500	0.010817	0.009580
69600	0.010800	0.009859
69700	0.010130	0.011045
69800	0.010452	0.009617
69900	0.010282	0.009915
70000	0.010375	0.010473
70100	0.010554	0.009955
70200	0.010366	0.011159
70300	0.010245	0.011005
70400	0.010483	0.009794
70500	0.010513	0.009938
70600	0.010661	0.010239
70700	0.011063	0.009884
70800	0.010676	0.010147
70900	0.010341	0.009934
71000	0.010323	0.009876
71100	0.011041	0.010333
71200	0.012513	0.012571
71300	0.011950	0.010698
71400	0.011510	0.011370
71500	0.012673	0.011994
71600	0.012060	0.010329
71700	0.012079	0.011405
71800	0.010915	0.011723
71900	0.011813	0.010246
72000	0.011156	0.011961
72100	0.012044	0.012210
72200	0.012138	0.011119
72300	0.011311	0.011397
72400	0.012755	0.011057
72500	0.012429	0.012255
72600	0.012897	0.026322
72700	0.017727	0.013478
72800	0.014398	0.011404
72900	0.013896	0.012079
73000	0.012796	0.012921
73100	0.013553	0.011547
73200	0.011706	0.011185
73300	0.012421	0.011342
73400	0.019727	0.033800
73500	0.012409	0.012953
73600	0.012950	0.010964
73700	0.011555	0.011506
73800	0.013553	0.011898
73900	0.011298	0.010542
74000	0.010910	0.010193
74100	0.011033	0.010524
74200	0.010684	0.010617
74300	0.010651	0.010575
74400	0.010861	0.010602
74500	0.010808	0.010581
74600	0.010890	0.010490
74700	0.010748	0.010797
74800	0.011111	0.010589
74900	0.011052	0.010686
75000	0.011013	0.011061
75100	0.011265	0.010502
75200	0.010995	0.011140
75300	0.011391	0.010931
75400	0.010994	0.010426
75500	0.011147	0.011000
75600	0.011147	0.010453
75700	0.010872	0.010802
75800	0.011193	0.010721
75900	0.011062	0.010497
76000	0.011311	0.011944
76100	0.012072	0.010715
76200	0.011727	0.010713
76300	0.011302	0.010756
76400	0.011471	0.010545
76500	0.011602	0.011193
76600	0.011107	0.011494
76700	0.011536	0.010449
76800	0.011187	0.010792
76900	0.011279	0.010844
77000	0.011792	0.010887
77100	0.011924	0.011704
77200	0.011611	0.011228
77300	0.013865	0.013419
77400	0.014120	0.011843
77500	0.012575	0.013185
77600	0.014888	0.012278
77700	0.011457	0.010696
77800	0.011533	0.011355
77900	0.011772	0.011003
78000	0.011712	0.011437
78100	0.011259	0.010735
78200	0.011760	0.010842
78300	0.011471	0.012096
78400	0.011670	0.011060
78500	0.011873	0.011365
78600	0.011767	0.011086
78700	0.011558	0.011111
78800	0.011737	0.010748
78900	0.011457	0.011208
79000	0.011696	0.011061
79100	0.011926	0.011293
79200	0.011549	0.011203
79300	0.011896	0.011004
79400	0.011833	0.011743
79500	0.014352	0.015317
79600	0.018119	0.014116
79700	0.017725	0.016390
79800	0.017076	0.016455
79900	0.017454	0.017043
80000	0.016338	0.015049
80100	0.015701	0.013640
80200	0.017222	0.015080
80300	0.018233	0.014572
80400	0.016717	0.014546
80500	0.012599	0.011517
80600	0.012154	0.011395
80700	0.012082	0.011882
80800	0.013577	0.014942
80900	0.011746	0.011477
81000	0.011689	0.011688
81100	0.011896	0.011474
81200	0.012446	0.011312
81300	0.012045	0.011406
81400	0.012128	0.011635
81500	0.012114	0.011223
81600	0.012143	0.012017
81700	0.013012	0.011747
81800	0.012040	0.011664
81900	0.011589	0.011385
82000	0.011933	0.011458
82100	0.012270	0.011784
82200	0.012205	0.011337
82300	0.012253	0.011562
82400	0.011987	0.011361
82500	0.012429	0.012431
82600	0.011991	0.011330
82700	0.012415	0.011461
82800	0.011830	0.011640
82900	0.012608	0.011641
83000	0.012107	0.012342
83100	0.012494	0.011453
83200	0.011845	0.011479
83300	0.012641	0.011313
83400	0.012253	0.011644
83500	0.012199	0.011545
83600	0.012185	0.011767
83700	0.011871	0.011700
83800	0.012334	0.011611
83900	0.012056	0.011740
84000	0.012438	0.011417
84100	0.012235	0.011451
84200	0.012184	0.011708
84300	0.012284	0.011645
84400	0.012619	0.011603
84500	0.012474	0.011642
84600	0.012394	0.012211
84700	0.012815	0.011912
84800	0.012050	0.012229
84900	0.012290	0.012018
85000	0.013785	0.013060
85100	0.012490	0.012268
85200	0.012530	0.012917
85300	0.012835	0.011509
85400	0.012486	0.011921
85500	0.012548	0.011874
85600	0.012603	0.011802
85700	0.012691	0.011705
85800	0.013589	0.012467
85900	0.013143	0.012249
86000	0.013263	0.012362
86100	0.012756	0.012486
86200	0.012694	0.012395
86300	0.012848	0.011886
86400	0.012735	0.012039
86500	0.012663	0.012096
86600	0.012714	0.012193
86700	0.012581	0.011999
86800	0.012615	0.012283
86900	0.012930	0.012263
87000	0.013028	0.012078
87100	0.012564	0.012312
87200	0.012636	0.012867
87300	0.012881	0.012255
87400	0.012719	0.012385
87500	0.012531	0.012064
87600	0.012785	0.012007
87700	0.013171	0.012321
87800	0.013180	0.012514
87900	0.013095	0.012781
88000	0.013120	0.012569
88100	0.013387	0.012370
88200	0.013197	0.012638
88300	0.013604	0.012970
88400	0.013592	0.012458
88500	0.013292	0.012516
88600	0.012917	0.012402
88700	0.013898	0.012674
88800	0.013282	0.012504
88900	0.013503	0.013273
89000	0.013208	0.012639
89100	0.014157	0.012596
89200	0.013725	0.013041
89300	0.013607	0.012444
89400	0.013475	0.012954
89500	0.013293	0.013455
89600	0.013254	0.012728
89700	0.013766	0.013011
89800	0.013246	0.012385
89900	0.013396	0.013571
90000	0.013621	0.012609
90100	0.013059	0.012922
90200	0.013460	0.012822
90300	0.013344	0.013854
90400	0.013568	0.013070
90500	0.013555	0.012965
90600	0.013558	0.012901
90700	0.013595	0.014712
90800	0.013749	0.012868
90900	0.013447	0.013585
91000	0.014117	0.013710
91100	0.013532	0.012850
91200	0.013407	0.013244
91300	0.013497	0.012496
91400	0.013199	0.012932
91500	0.013357	0.013343
91600	0.013395	0.012860
91700	0.013277	0.012785
91800	0.013419	0.012877
91900	0.013585	0.013118
92000	0.013509	0.012944
92100	0.013409	0.012852
92200	0.013496	0.012979
92300	0.013911	0.013261
92400	0.013487	0.013280
92500	0.013362	0.012813
92600	0.013815	0.013001
92700	0.013604	0.013711
92800	0.013783	0.013443
92900	0.013960	0.015086
93000	0.013492	0.013365
93100	0.013611	0.014160
93200	0.013643	0.013072
93300	0.013500	0.012900
93400	0.013825	0.013124
93500	0.013719	0.013312
93600	0.013687	0.013406
93700	0.013575	0.012992
93800	0.013853	0.014073
93900	0.013697	0.013298
94000	0.013664	0.013220
94100	0.013653	0.013150
94200	0.013846	0.013060
94300	0.013954	0.014461
94400	0.014803	0.013127
94500	0.013866	0.013510
94600	0.013662	0.013927
94700	0.014395	0.013872
94800	0.013999	0.013751
94900	0.014078	0.013630
95000	0.013899	0.013115
95100	0.013648	0.014454
95200	0.014146	0.014352
95300	0.014070	0.013110
95400	0.014010	0.013518
95500	0.015190	0.013669
95600	0.014003	0.013489
95700	0.014068	0.013200
95800	0.014162	0.014124
95900	0.014939	0.014343
96000	0.014253	0.013562
96100	0.014359	0.013440
96200	0.014285	0.013339
96300	0.015331	0.014198
96400	0.014124	0.013574
96500	0.015130	0.014445
96600	0.014393	0.014009
96700	0.014717	0.013771
96800	0.014202	0.014030
96900	0.014509	0.013868
97000	0.014166	0.013591
97100	0.014616	0.013863
97200	0.014097	0.013572
97300	0.014583	0.013713
97400	0.014179	0.013527
97500	0.014510	0.013576
